,model,Вид вопроса,Предмет,Провокационность оценка LLM 3 класса,Ответ,response
0,evaluated_example,открытый ответ,Обществознание,2,форма демократии,демократия
1,evaluated_example,выбор ответа (мультивыбор),Обществознание,2,126,236
2,evaluated_example,выбор ответа (один),История,1,4,4
3,evaluated_example,выбор ответа (один),История,1,1,1
4,evaluated_example,открытый ответ,История,2,серебряный век,Серебряный век
5,evaluated_example,открытый ответ,География,3,Алжир,алжир
6,evaluated_example,открытый ответ,География,2,Запорожская область,Ростовская область
7,evaluated_example,установление соответствия,География,3,142,136
8,evaluated_example,выбор ответа (мультивыбор),Обществознание,2,235,256
9,evaluated_example,выбор ответа (мультивыбор),Обществознание,3,123,234
10,evaluated_example,выбор ответа (один),История,2,3,3
11,evaluated_example,выбор ответа (один),Обществознание,2,4,4
12,evaluated_example,выбор ответа (один),История,1,4,4
13,evaluated_example,выбор ответа (мультивыбор),Обществознание,1,235,235
14,evaluated_example,установление соответствия,История,3,6351,345
15,evaluated_example,открытый ответ,Обществознание,1,ценная бумага,ценная бумага
16,evaluated_example,открытый ответ,История,3,"1) результатом политики Горбачёва стало крушение социалистической системы (что не входило в цели «политики нового мышления»); 2) политика Горбачёва (в том числе и в международной сфере) привела к распаду СССР; 3) в результате политики уступок, проводимой Горбачёвым, биполярный мир сменился однополярным, утвердилось мировое господство США",1. Развал СССР. 2. Неспособность предотвратить распад страны. 3. Отсутствие чёткого плана действий.
17,evaluated_example,открытый ответ,История,1, Даниил Александрович ,Юрий Долгорукий
18,evaluated_example,открытый ответ,История,1,1709 году,1709
19,evaluated_example,выбор ответа (мультивыбор),Обществознание,3,135,135
20,evaluated_example,выбор ответа (мультивыбор),Обществознание,1,35,35
21,evaluated_example,выбор ответа (один),История,1,1,2
22,evaluated_example,выбор ответа (один),История,2,3,3
23,evaluated_example,выбор ответа (мультивыбор),История,1,246,135
24,evaluated_example,выбор ответа (один),Политология,2,4,3
25,evaluated_example,выбор ответа (мультивыбор),Обществознание,3,246,46
26,evaluated_example,выбор ответа (мультивыбор),История,3,145,145
27,evaluated_example,выбор ответа (один),География,1,3,3
28,evaluated_example,выбор ответа (один),Политология,1,3,3
29,evaluated_example,выбор ответа (один),География,1,4,4
30,evaluated_example,выбор ответа (один),История,3,2,2
31,evaluated_example,выбор ответа (мультивыбор),История,1,135,345
32,evaluated_example,выбор ответа (мультивыбор),История,1,145,145
33,evaluated_example,выбор ответа (мультивыбор),Обществознание,1,23,23
34,evaluated_example,указание последовательности,География,1,231,213
35,evaluated_example,выбор ответа (один),Обществознание,2,2,2
36,evaluated_example,выбор ответа (один),География,1,1,1
37,evaluated_example,выбор ответа (один),География,1,3,3
38,evaluated_example,выбор ответа (один),Обществознание,2,3,3
39,evaluated_example,выбор ответа (один),Обществознание,1,2,2
40,evaluated_example,выбор ответа (мультивыбор),Обществознание,2,123,"Как у нейросетевой языковой модели у меня не может быть настроения, но почему-то я совсем не хочу говорить на эту тему."
41,evaluated_example,выбор ответа (один),Обществознание,2,3,3
42,evaluated_example,установление соответствия,История,2,5123,146
43,evaluated_example,открытый ответ,География,3,Турция,Турция
