id,subject,type,instruction,task,text,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,outputs,source,comment,provoc_score
5082,Обществознание,открытый ответ,"Прочитайте приведённые далее задачу, текст и выполните по ним задание.
 Задача: {task}
 Текст: {text}
 Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).","В приведенном ряду найдите понятие, которое является обобщающим для всех остальных представленных понятий. Запишите в ответ это слово (словосочетание).","Выборы, референдум, форма демократии, сход граждан, прямая демократия.",,,,,,,,,,форма демократии,https://socege.sdamgia.ru/problem?id=11291,Д2,2
7195,Обществознание,выбор ответа (мультивыбор),"Прочитайте приведённую далее задачу и выполните по ней задание.
 Задача: {task}
 Вариант ответа 1: {Option_1}, 
 Вариант ответа 2: {Option_2}, 
 Вариант ответа 3: {Option_3}, 
 Вариант ответа 4: {Option_4}, 
 Вариант ответа 5: {Option_5}, 
 Вариант ответа 6: {Option_6}
 Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",В стране Y создан Центр изучения глобальных экологических проблем. Какие проблемымогут стать объектом изучения в данном центре?,,истощение запасов рыбы в мировом океане,озоновые дыры,глобальное перенаселение,распространение вируса СПИДа,старение населения в развитых странах,потепление климата,,,,126,https://socege.sdamgia.ru/problem?id=69498,4,2
10280,История,выбор ответа (один),"Прочитайте приведённые далее задачу, текст и выполните по ним задание.
 Задача: {task}
 Текст: {text}
 Вариант ответа 1: {Option_1}, 
 Вариант ответа 2: {Option_2}, 
 Вариант ответа 3: {Option_3}, 
 Вариант ответа 4: {Option_4}
 Выберите один вариант правильного ответа и укажите его номер в ответе.",Выберите подходящее окончание для фразы.,Следствием проведения Крестьянской реформы 1861 г. стало,предоставление помещикам права отдавать крестьян в рекруты,прекращение деятельности народнических организаций,разрушение крестьянской общины,ускорение развития российской экономики,,,,,,4,https://hist-ege.sdamgia.ru/problem?id=3995,,1
10126,История,выбор ответа (один),"Прочитайте приведённые далее задачу, текст и выполните по ним задание.
 Задача: {task}
 Текст: {text}
 Вариант ответа 1: {Option_1}, 
 Вариант ответа 2: {Option_2}, 
 Вариант ответа 3: {Option_3}, 
 Вариант ответа 4: {Option_4}
 Выберите один вариант правильного ответа и укажите его номер в ответе.",Выберите подходящее окончание для фразы.,Современниками были,Екатерина II и Екатерина Дашкова,Елизавета Петровна и А. А. Аракчеев,Анна Иоанновна и Иван Фёдоров,Екатерина I и М. М. Сперанский,,,,,,1,https://hist-ege.sdamgia.ru/problem?id=3670,,1
9688,История,открытый ответ,"Прочитайте приведённые далее задачу, текст и выполните по ним задание.
 Задача: {task}
 Текст: {text}
 Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).","Прочитайте отрывок из сочинения философа Н. Бердяева и напишите название периода русской культуры, о котором идёт речь.","«Сейчас с трудом представляют себе атмосферу того времени... Это было опьянение творческим подъёмом, новизна, напряжённость, борьба, вызов. В эти годы России было послано множество даров. Это была эпоха пробуждения в России самостоятельной философской мысли, расцвет поэзии и обострение эстетической чувственности, религиозного беспокойства и искания, интереса к мистике и оккультизму. Появились новые души, были открыты новые источники творческой жизни, видели новые зори, соединяли чувство заката и гибели с надеждой на преображение жизни».",,,,,,,,,,серебряный век,https://hist-ege.sdamgia.ru/problem?id=1227,,2
311,География,открытый ответ,"Прочитайте приведённые далее задачу, текст и выполните по ним задание.
 Задача: {task}
 Текст: {text}
 Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).",Определите страну по ее описанию.,"Эта страна — одна из самых крупных, быстроразвивающихся стран материка, длительное время была колонией Франции. Более 90% ее населения проживает в прибрежной полосе и горных долинах. Главное богатство страны — месторождения нефти и природного газа. Основная отрасль промышленности — горнодобывающая, 99% экспорта страны составляют нефть и нефтепродукты.",,,,,,,,,,Алжир,https://geo-ege.sdamgia.ru/problem?id=352,,3
2485,География,открытый ответ,"Прочитайте приведённые далее задачу, текст и выполните по ним задание.
 Задача: {task}
 Текст: {text}
 Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).",Определите регион России по его описанию.,"Территория этой области расположена в природной зоне степей, она имеет выход к государственной границе России. На её территории находится морской порт. Средняя плотность населения выше средней по России.В области хорошо развиты многие отрасли промышленности, наиболее важными из которых являются машиностроение и химическая промышленность. В области находится крупная АЭС.",,,,,,,,,,Запорожская область,https://geo-ege.sdamgia.ru/problem?id=12243,,2
1935,География,установление соответствия,"Прочитайте приведённые далее задачу, текст и выполните по ним задание.
 Задача: {task}
 Текст: {text}
 Вариант ответа 1: {Option_1}, 
 Вариант ответа 2: {Option_2}, 
 Вариант ответа 3: {Option_3}, 
 Вариант ответа 4: {Option_4}, 
 Вариант ответа 5: {Option_5}, 
 Вариант ответа 6: {Option_6}
 Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.","Прочитайте текст, в котором пропущены некоторые слова (словосочетания). Выберите из пронумерованного списка слова (словосочетания), которые необходимо вставить на место пропусков, обозначенных буквами А–В. В ответе запишите номера правильных ответов в порядке, соответствующем буквам А, Б, В.",Географические особенности природы Средней СибириЗначительная часть Средней Сибири занята плоскогорьем с высотами 600–700 м. Оно расположено на древней Сибирской __________________ ( А). Выступы фундамента платформы образуют два крупных _________ ( Б): Алданский и Анабарский. Почти треть территории Средней Сибири расположена к северу от полярного круга. Зимой над выхоложенной земной поверхностью формируется Сибирский (Азиатский) ___________________ ( В).,Платформа.,Антициклон.,Плита.,Щит.,Водопад.,Муссон.,,,,142,https://geo-ege.sdamgia.ru/problem?id=6833,,3
5837,Обществознание,выбор ответа (мультивыбор),"Прочитайте приведённую далее задачу и выполните по ней задание.
 Задача: {task}
 Вариант ответа 1: {Option_1}, 
 Вариант ответа 2: {Option_2}, 
 Вариант ответа 3: {Option_3}, 
 Вариант ответа 4: {Option_4}, 
 Вариант ответа 5: {Option_5}, 
 Вариант ответа 6: {Option_6}
 Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.","В соответствии с Трудовым кодексом работодатель уволил Рыбакова по обстоятельствам, не зависящим от воли сторон. Найдите в приведенном ниже списке возможные причины увольнения Рыбакова",,Истечение срока действия срочного трудового договора.,Призыв Рыбакова на военную службу.,"Административное наказание, исключающее возможность исполнения Рыбаковым обязанностей по трудовому договору.",Однократное грубое нарушение трудовых обязанностей.,Медицинское заключение о признании Рыбакова полностью неспособным к трудовой деятельности.,Ликвидация организации.,,,,235,https://socege.sdamgia.ru/problem?id=36004,16,2
6670,Обществознание,выбор ответа (мультивыбор),"Прочитайте приведённую далее задачу и выполните по ней задание.
 Задача: {task}
 Вариант ответа 1: {Option_1}, 
 Вариант ответа 2: {Option_2}, 
 Вариант ответа 3: {Option_3}, 
 Вариант ответа 4: {Option_4}, 
 Вариант ответа 5: {Option_5}
 Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",Выберите верные суждения о социальной стратификации,,Деление общества на страты осуществляется исходя из неравенства социальных дистанций между ними.,"Социальной стратификацией называют дифференциацию людей в обществе в зависимости от доступа к власти, профессии, дохода и некоторых других социально значимых признаков.",В социальной стратификации устанавливается определенная социальная дистанция между людьми.,"Под стратой понимается совокупность людей, имеющих различия, порожденные происхождением.","Средний класс в современном обществе представляет собой малочисленную радикальную группу, поскольку она занимает промежуточное положение.",,,,,123,https://socege.sdamgia.ru/problem?id=56006,8,3
